Compactness,' Circularity',' Distance_circularity',' Radius_ratio',' Praxis_aspect_ratio',' Max_length_aspect_ratio',' Scatter_ratio',' Elongatedness',' Praxis_rectangular',' Length_rectangular',' Major_variance',' Minor_variance',' Gyration_radius',' Major_skewness',' Minor_skewness',' Minor_kurtosis',' Major_kurtosis',' Hollows_ratio',' Type_vehicle'
0.391304,0.346154,0.569444,0.388646,0.241758,0.056604,0.372549,0.342857,0.25,0.271429,0.284211,0.29976,0.295597,0.118421,0.136364,0.560976,0.733333,0.766667,' bus '
0.26087,0.384615,0.361111,0.113537,0.10989,0.075472,0.254902,0.542857,0.166667,0.357143,0.226316,0.178657,0.371069,0.355263,0.181818,0.219512,0.133333,0.066667,' bus '
0.76087,0.807692,0.958333,0.371179,0.10989,0.169811,0.705882,0.142857,0.666667,0.8,0.521053,0.629496,0.660377,0.144737,0.545455,0.560976,0.433333,0.666667,' saab'
0.521739,0.576923,0.902778,0.471616,0.186813,0.169811,0.581699,0.2,0.5,0.528571,0.431579,0.501199,0.333333,0.065789,0.090909,0.170732,0.566667,0.7,' opel'
0.369565,0.384615,0.444444,0.231441,0.186813,0.113208,0.156863,0.657143,0.083333,0.385714,0.147368,0.113909,0.36478,0.065789,0.181818,0.146341,0.833333,0.933333,' van '
0.195652,0.153846,0.263889,0.131004,0.175824,0.09434,0.150327,0.714286,0.083333,0.142857,0.110526,0.095923,0.213836,0.302632,0.5,0.585366,0.1,0.133333,' saab'
0.456522,0.538462,0.625,1,1,0.886792,0.281046,0.485714,0.166667,0.528571,1,0.203837,0.490566,1,0.545455,0.219512,0.4,0.5,' van '
0.326087,0.076923,0.277778,0.170306,0.131868,0.09434,0.104575,0.742857,0.083333,0.157143,0.089474,0.074341,0,0.039474,0.045455,0.146341,0.866667,0.933333,' van '
0.217391,0.346154,0.430556,0.209607,0.186813,0.09434,0.24183,0.542857,0.166667,0.342857,0.221053,0.176259,0.308176,0.197368,0.090909,0.04878,0.266667,0.3,' bus '
0.413043,0.153846,0.555556,0.331878,0.21978,0.113208,0.27451,0.485714,0.166667,0.157143,0.263158,0.202638,0.220126,0.131579,0.272727,0.219512,0.466667,0.466667,' saab'
0.456522,0.115385,0.388889,0.100437,0.076923,0.09434,0.098039,0.742857,0.083333,0.2,0.131579,0.069544,0.044025,0.092105,0.045455,0.04878,0.633333,0.5,' van '
0.478261,0.346154,0.625,0.305677,0.208791,0.132075,0.267974,0.514286,0.166667,0.371429,0.2,0.195444,0.257862,0.078947,0.5,0.121951,0.666667,0.766667,' van '
0.478261,0.615385,0.583333,0.152838,0.098901,0.169811,0.30719,0.485714,0.25,0.628571,0.226316,0.217026,0.477987,0.210526,0.318182,0.243902,0.2,0.333333,' van '
0.26087,0.346154,0.361111,0.069869,0.065934,0.09434,0.24183,0.542857,0.166667,0.385714,0.226316,0.169065,0.339623,0.342105,0.227273,0.097561,0.133333,0.033333,' bus '
0.391304,0.115385,0.597222,0.253275,0.153846,0.113208,0.196078,0.6,0.166667,0.142857,0.173684,0.136691,0.176101,0.052632,0,0.756098,0.566667,0.633333,' saab'
0.282609,0.423077,0.347222,0.10917,0.098901,0.075472,0.261438,0.542857,0.166667,0.457143,0.2,0.176259,0.427673,0.315789,0.181818,0.317073,0.066667,0.066667,' bus '
0.152174,0.153846,0.236111,0.052402,0.087912,0.075472,0.084967,0.8,0.083333,0.1,0.063158,0.053957,0.144654,0.289474,0.363636,0.121951,0.066667,0.1,' opel'
0.26087,0.230769,0.513889,0.20524,0.131868,0.113208,0.248366,0.542857,0.166667,0.228571,0.242105,0.176259,0.150943,0.184211,0,0.390244,0.266667,0.4,' opel'
0.304348,0.384615,0.347222,0.100437,0.098901,0.113208,0.24183,0.571429,0.166667,0.357143,0.205263,0.165468,0.389937,0.342105,0.272727,0.073171,0.133333,0.033333,' bus '
0.434783,0.461538,0.569444,0.318777,0.186813,0.09434,0.313725,0.428571,0.25,0.414286,0.263158,0.238609,0.496855,0.144737,0.5,0.268293,0.533333,0.6,' saab'
0.434783,0.538462,0.611111,0.441048,0.263736,0.09434,0.418301,0.285714,0.333333,0.485714,0.315789,0.35012,0.578616,0.144737,0.318182,0.463415,0.733333,0.666667,' bus '
0.065217,0.192308,0.25,0.091703,0.120879,0.056604,0.137255,0.714286,0.083333,0.128571,0.115789,0.089928,0.226415,0.368421,0,0.512195,0.033333,0.1,' opel'
0.521739,0.846154,0.777778,0.28821,0.076923,0.150943,0.679739,0.142857,0.583333,0.785714,0.468421,0.600719,0.685535,0.210526,0,0.097561,0.266667,0.4,' opel'
0.826087,0.653846,0.875,0.414847,0.142857,0.169811,0.647059,0.142857,0.583333,0.542857,0.489474,0.574341,0.496855,0.118421,0.409091,0.219512,0.466667,0.633333,' saab'
0.347826,0.307692,0.486111,0.170306,0.098901,0.09434,0.222222,0.571429,0.166667,0.271429,0.210526,0.159472,0.295597,0.223684,0.818182,0.121951,0.266667,0.233333,' opel'
0.434783,0.615385,0.541667,0.331878,0.197802,0.09434,0.398693,0.314286,0.333333,0.571429,0.310526,0.334532,0.534591,0.144737,0.227273,0.243902,0.7,0.7,' bus '
0.434783,0.384615,0.527778,0.253275,0.186813,0.113208,0.163399,0.628571,0.083333,0.385714,0.136842,0.116307,0.314465,0.052632,0.772727,0.292683,0.9,0.966667,' van '
0.478261,0.115385,0.458333,0.379913,0.285714,0.075472,0.287582,0.428571,0.166667,0.114286,0.284211,0.227818,0.09434,0.157895,0.090909,0.463415,0.766667,0.766667,' bus '
0.673913,0.730769,0.777778,0.366812,0.131868,0.132075,0.496732,0.257143,0.416667,0.614286,0.4,0.414868,0.603774,0.105263,0.5,0.195122,0.566667,0.633333,' opel'
0.456522,0.269231,0.625,0.358079,0.164835,0.132075,0.372549,0.371429,0.25,0.3,0.284211,0.294964,0.150943,0.026316,0.090909,0.219512,0.8,0.966667,' saab'
0.173913,0.461538,0.388889,0.218341,0.241758,0.377358,0.254902,0.542857,0.166667,0.414286,0.294737,0.181055,0.484277,0.381579,0.045455,0.243902,0.133333,0.133333,' bus '
0.173913,0.5,0.430556,0.113537,0.098901,0.09434,0.267974,0.514286,0.166667,0.442857,0.221053,0.189448,0.515723,0.289474,0.136364,0.341463,0.133333,0.166667,' bus '
0.608696,0.884615,0.833333,0.279476,0.087912,0.169811,0.666667,0.142857,0.583333,0.814286,0.468421,0.595923,0.72327,0.197368,0.090909,0.073171,0.3,0.366667,' opel'
0.804348,0.884615,0.958333,0.414847,0.10989,0.056604,0.908497,0.028571,0.833333,0.728571,0.747368,0.892086,1,0.302632,0.5,0.243902,0.233333,0.066667,' bus '
0.326087,0.423077,0.416667,0.20524,0.153846,0.113208,0.202614,0.571429,0.083333,0.357143,0.173684,0.152278,0.402516,0.118421,0.318182,0.195122,0.666667,0.733333,' bus '
0.826087,0.807692,0.875,0.292576,0.032967,0.169811,0.712418,0.114286,0.666667,0.771429,0.510526,0.651079,0.578616,0.131579,0.681818,0.146341,0.466667,0.566667,' opel'
0.586957,0.615385,0.555556,0.445415,0.252747,0.075472,0.464052,0.257143,0.333333,0.542857,0.4,0.399281,0.559748,0.184211,0.136364,0.317073,0.733333,0.6,' bus '
0.369565,0.5,0.486111,0.126638,0.087912,0.169811,0.313725,0.485714,0.25,0.614286,0.226316,0.221823,0.389937,0.236842,0,0.390244,0.2,0.366667,' van '
0.5,0.846154,0.875,0.423581,0.197802,0.132075,0.601307,0.171429,0.5,0.685714,0.510526,0.527578,0.861635,0.197368,0.272727,0.04878,0.333333,0.433333,' opel'
0.717391,0.807692,0.902778,0.262009,0.010989,0.056604,0.882353,0.028571,0.833333,0.671429,0.731579,0.847722,0.842767,0.328947,0.545455,0.02439,0.166667,0.033333,' bus '
0.347826,0.384615,0.513889,0.187773,0.076923,0.113208,0.20915,0.571429,0.166667,0.4,0.173684,0.148681,0.408805,0.065789,0.590909,0.121951,0.6,0.666667,' saab'
0.652174,0.769231,0.916667,0.296943,0.087912,0.150943,0.653595,0.171429,0.583333,0.714286,0.473684,0.570743,0.716981,0.184211,0.727273,0.585366,0.366667,0.533333,' saab'
0.26087,0.346154,0.263889,0.122271,0.120879,0.09434,0.24183,0.571429,0.166667,0.371429,0.189474,0.16307,0.396226,0.315789,0.363636,0.097561,0.1,0.033333,' bus '
0.304348,0.307692,0.361111,0.157205,0.120879,0.075472,0.235294,0.571429,0.166667,0.257143,0.178947,0.160671,0.433962,0.263158,0.863636,0.04878,0.166667,0.133333,' saab'
0.173913,0.423077,0.388889,0.069869,0.065934,0.075472,0.254902,0.542857,0.166667,0.414286,0.210526,0.178657,0.433962,0.355263,0.181818,0.121951,0.1,0.066667,' bus '
0.782609,0.846154,0.777778,0.379913,0.10989,0.075472,0.843137,0.057143,0.75,0.742857,0.721053,0.806954,0.836478,0.342105,0.363636,0.219512,0.266667,0.1,' bus '
0.369565,0.423077,0.402778,0.209607,0.186813,0.09434,0.150327,0.657143,0.083333,0.385714,0.184211,0.105516,0.333333,0.210526,0.136364,0.04878,0.366667,0.333333,' van '
0.391304,0.115385,0.277778,0.09607,0.098901,0.075472,0.045752,0.857143,0,0.171429,0.047368,0.032374,0.056604,0.105263,0.272727,0.341463,0.533333,0.566667,' van '
0.282609,0.461538,0.430556,0.28821,0.252747,0.075472,0.222222,0.542857,0.166667,0.4,0.221053,0.164269,0.503145,0.157895,0.454545,0.195122,0.366667,0.333333,' bus '
0.521739,0.423077,0.777778,0.39738,0.175824,0.132075,0.477124,0.285714,0.416667,0.371429,0.378947,0.393285,0.352201,0.092105,0.181818,0.195122,0.5,0.6,' saab'
0.391304,0.346154,0.611111,0.458515,0.307692,0.075472,0.385621,0.342857,0.25,0.285714,0.310526,0.314149,0.327044,0.131579,0.136364,0.292683,0.666667,0.666667,' bus '
0.304348,0.115385,0.180556,0.056769,0.120879,0.037736,0.039216,0.885714,0,0.1,0.042105,0.02518,0.18239,0.342105,0.409091,0.365854,0.133333,0.066667,' van '
0.5,0.307692,0.402778,0.213974,0.098901,0.09434,0.189542,0.6,0.083333,0.328571,0.168421,0.135492,0.377358,0.026316,0.5,0.195122,0.866667,0.933333,' saab'
0.586957,0.692308,0.680556,0.414847,0.197802,0.075472,0.581699,0.171429,0.5,0.585714,0.468421,0.52518,0.603774,0.197368,0.272727,0.170732,0.566667,0.4,' bus '
0.521739,0.615385,0.5,0.432314,0.285714,0.09434,0.431373,0.285714,0.333333,0.557143,0.336842,0.363309,0.484277,0.171053,0,0.170732,0.7,0.633333,' bus '
0.23913,0.423077,0.513889,0.200873,0.131868,0.056604,0.261438,0.514286,0.166667,0.357143,0.236842,0.191847,0.427673,0.236842,0.363636,0.04878,0.233333,0.2,' saab'
0.391304,0.5,0.486111,0.353712,0.307692,0.09434,0.27451,0.457143,0.166667,0.414286,0.252632,0.213429,0.522013,0.171053,0.363636,0.195122,0.533333,0.6,' bus '
0.26087,0.384615,0.402778,0.161572,0.164835,0.09434,0.261438,0.514286,0.166667,0.385714,0.252632,0.188249,0.440252,0.328947,0.045455,0.097561,0.166667,0.1,' bus '
0.26087,0.461538,0.555556,0.218341,0.186813,0.132075,0.228758,0.542857,0.166667,0.428571,0.205263,0.167866,0.408805,0.157895,0.045455,0.097561,0.4,0.6,' van '
0.869565,0.576923,0.805556,0.454148,0.164835,0.132075,0.594771,0.2,0.5,0.471429,0.452632,0.514388,0.465409,0.065789,0.772727,0.707317,0.566667,0.766667,' saab'
0.304348,0.423077,0.347222,0.087336,0.098901,0.075472,0.24183,0.571429,0.166667,0.371429,0.210526,0.164269,0.389937,0.368421,0.181818,0.292683,0.1,0.033333,' bus '
0.543478,0.807692,0.888889,0.358079,0.131868,0.150943,0.660131,0.171429,0.583333,0.771429,0.489474,0.576739,0.679245,0.184211,0.045455,0.634146,0.333333,0.466667,' opel'
0.652174,0.884615,0.902778,0.344978,0.131868,0.150943,0.640523,0.171429,0.583333,0.785714,0.457895,0.556355,0.685535,0.171053,0.590909,0.536585,0.4,0.5,' opel'
0.217391,0.461538,0.458333,0.248908,0.230769,0.113208,0.196078,0.571429,0.083333,0.371429,0.205263,0.145084,0.440252,0.157895,0.454545,0.073171,0.5,0.6,' van '
0.5,0.5,0.472222,0.427948,0.296703,0.056604,0.333333,0.371429,0.25,0.442857,0.289474,0.268585,0.515723,0.144737,0.318182,0.195122,0.666667,0.633333,' bus '
0.456522,0.346154,0.388889,0.200873,0.186813,0.09434,0.104575,0.742857,0.083333,0.357143,0.126316,0.074341,0.314465,0.131579,0.636364,0.121951,0.533333,0.5,' van '
0.586957,0.692308,0.958333,0.524017,0.21978,0.132075,0.686275,0.114286,0.583333,0.628571,0.568421,0.623501,0.610063,0.171053,0.272727,0.439024,0.433333,0.6,' opel'
0.521739,0.576923,0.75,0.41048,0.175824,0.132075,0.45098,0.285714,0.333333,0.528571,0.368421,0.371703,0.503145,0.065789,0.909091,0.268293,0.766667,0.733333,' opel'
0.282609,0.307692,0.333333,0.19214,0.153846,0.056604,0.248366,0.542857,0.166667,0.285714,0.184211,0.178657,0.402516,0.276316,0.227273,0.195122,0.2,0.133333,' saab'
0.5,0.153846,0.472222,0.362445,0.230769,0.113208,0.30719,0.457143,0.25,0.228571,0.278947,0.232614,0.157233,0.131579,0.136364,0.390244,0.466667,0.533333,' saab'
0.630435,0.807692,0.833333,0.257642,0.065934,0.150943,0.660131,0.142857,0.583333,0.785714,0.468421,0.581535,0.578616,0.223684,0.545455,0.658537,0.366667,0.466667,' opel'
0.478261,0.576923,0.597222,0.323144,0.274725,0.150943,0.326797,0.457143,0.25,0.585714,0.242105,0.233813,0.471698,0.144737,0.272727,0.390244,0.366667,0.533333,' van '
0.282609,0.346154,0.333333,0.078603,0.076923,0.075472,0.235294,0.571429,0.166667,0.357143,0.210526,0.161871,0.389937,0.368421,0.045455,0.073171,0.1,0.033333,' bus '
0.130435,0.230769,0.444444,0.100437,0.065934,0.132075,0.196078,0.628571,0.166667,0.242857,0.184211,0.133094,0.220126,0.236842,0.318182,0.512195,0.166667,0.266667,' opel'
0.586957,0.423077,0.736111,0.388646,0.164835,0.113208,0.48366,0.257143,0.416667,0.414286,0.378947,0.404077,0.264151,0.092105,0,0.04878,0.566667,0.566667,' opel'
0.282609,0.384615,0.416667,0.09607,0.098901,0.075472,0.235294,0.571429,0.166667,0.385714,0.189474,0.159472,0.389937,0.355263,0.272727,0.219512,0.1,0.033333,' bus '
0.26087,0.153846,0.388889,0.179039,0.142857,0.075472,0.117647,0.714286,0.083333,0.171429,0.105263,0.082734,0.075472,0.078947,0.136364,0.341463,0.633333,0.733333,' van '
0.586957,0.307692,0.486111,0.441048,0.263736,0.056604,0.418301,0.285714,0.333333,0.285714,0.389474,0.353717,0.264151,0.171053,0.318182,0.463415,0.7,0.533333,' bus '
0.26087,0.384615,0.333333,0.104803,0.098901,0.113208,0.248366,0.571429,0.166667,0.371429,0.2,0.167866,0.402516,0.302632,0.409091,0.341463,0.133333,0.1,' bus '
0.5,0.153846,0.472222,0.414847,0.296703,0.056604,0.346405,0.371429,0.25,0.142857,0.305263,0.281775,0.169811,0.171053,0.045455,0.073171,0.666667,0.633333,' bus '
0.26087,0,0,0.048035,0.10989,0.018868,0,1,0,0.014286,0,0,0.113208,0.355263,0.545455,0.512195,0.166667,0.066667,' saab'
0.304348,0.307692,0.5,0.266376,0.21978,0.09434,0.235294,0.542857,0.166667,0.314286,0.215789,0.171463,0.27044,0.171053,0.318182,0.317073,0.4,0.466667,' bus '
0.326087,0.423077,0.430556,0.179039,0.098901,0.113208,0.196078,0.628571,0.166667,0.357143,0.152632,0.134293,0.408805,0.118421,0.318182,0.439024,0.4,0.533333,' opel'
0.347826,0.307692,0.611111,0.161572,0.120879,0.132075,0.24183,0.542857,0.166667,0.385714,0.221053,0.17506,0.333333,0.171053,0.181818,0.439024,0.4,0.633333,' van '
0.630435,0.807692,0.916667,0.510917,0.230769,0.169811,0.620915,0.171429,0.583333,0.657143,0.515789,0.544365,0.811321,0.157895,0,0.634146,0.433333,0.633333,' saab'
0.608696,0.692308,0.805556,0.393013,0.142857,0.150943,0.542484,0.228571,0.416667,0.614286,0.468421,0.465228,0.691824,0.105263,0,0.243902,0.533333,0.666667,' saab'
0.391304,0.5,0.527778,0.19214,0.153846,0.132075,0.228758,0.542857,0.166667,0.485714,0.2,0.166667,0.566038,0.144737,0.590909,0.268293,0.433333,0.633333,' van '
0.565217,0.807692,0.833333,0.414847,0.164835,0.132075,0.575163,0.2,0.5,0.685714,0.484211,0.498801,0.830189,0.144737,0.090909,0.170732,0.433333,0.566667,' opel'
0.434783,0.076923,0.527778,0.253275,0.142857,0.113208,0.248366,0.542857,0.166667,0.1,0.221053,0.176259,0.176101,0.105263,0.090909,0.804878,0.5,0.566667,' opel'
0.521739,0.653846,0.944444,0.467249,0.197802,0.150943,0.666667,0.142857,0.583333,0.542857,0.536842,0.598321,0.685535,0.171053,0.318182,0.707317,0.4,0.533333,' opel'
0.804348,0.961538,0.916667,0.331878,0.043956,0.075472,0.973856,0,0.916667,0.757143,0.778947,0.976019,0.930818,0.315789,0.409091,0.317073,0.166667,0.033333,' bus '
0.456522,0.384615,0.333333,0.30131,0.241758,0.09434,0.248366,0.485714,0.166667,0.342857,0.205263,0.191847,0.427673,0.118421,0.409091,0.02439,0.766667,0.833333,' bus '
0.5,0.461538,0.555556,0.253275,0.175824,0.132075,0.222222,0.571429,0.166667,0.428571,0.163158,0.158273,0.327044,0.065789,0.227273,0.243902,0.766667,0.866667,' van '
0.369565,0.230769,0.625,0.244541,0.131868,0.09434,0.333333,0.428571,0.25,0.185714,0.310526,0.254197,0.308176,0.157895,0.318182,0.317073,0.333333,0.366667,' saab'
0.5,0.269231,0.416667,0.069869,0.032967,0.113208,0.163399,0.685714,0.083333,0.328571,0.168421,0.101918,0.188679,0.276316,0.454545,0.317073,0.233333,0.066667,' van '
0.195652,0.115385,0.194444,0.056769,0.065934,0.09434,0.084967,0.8,0.083333,0.114286,0.084211,0.053957,0.119497,0.25,0.045455,0.121951,0.133333,0.1,' saab'
0.456522,0.230769,0.486111,0.349345,0.274725,0.113208,0.281046,0.457143,0.166667,0.214286,0.236842,0.217026,0.226415,0.144737,0.181818,0.121951,0.533333,0.633333,' bus '
0.565217,0.384615,0.680556,0.39738,0.175824,0.113208,0.48366,0.257143,0.416667,0.371429,0.421053,0.404077,0.358491,0.118421,0.272727,0.317073,0.5,0.6,' saab'
0.304348,0.153846,0.277778,0.122271,0.10989,0.075472,0.104575,0.742857,0.083333,0.157143,0.126316,0.070743,0.144654,0.157895,0.045455,0.341463,0.333333,0.366667,' saab'
0.673913,0.769231,0.944444,0.436681,0.186813,0.169811,0.705882,0.142857,0.666667,0.771429,0.505263,0.627098,0.591195,0.157895,0.636364,0.731707,0.433333,0.733333,' saab'
0.456522,0.076923,0.361111,0.187773,0.164835,0.132075,0.124183,0.685714,0.083333,0.128571,0.152632,0.088729,0.037736,0.092105,0.363636,0.170732,0.666667,0.666667,' van '
0.23913,0.192308,0.361111,0.148472,0.164835,0.075472,0.091503,0.8,0.083333,0.2,0.073684,0.057554,0.188679,0.144737,0.181818,0.170732,0.3,0.3,' opel'
0.673913,0.807692,0.847222,0.406114,0.186813,0.169811,0.660131,0.142857,0.583333,0.771429,0.463158,0.581535,0.710692,0.197368,0.636364,0.097561,0.366667,0.5,' saab'
0.173913,0.384615,0.388889,0.19214,0.186813,0.09434,0.248366,0.542857,0.166667,0.371429,0.236842,0.17506,0.389937,0.276316,0.045455,0.04878,0.2,0.133333,' bus '
0.717391,0.807692,0.875,0.248908,0,0.037736,0.882353,0.028571,0.833333,0.685714,0.715789,0.848921,0.836478,0.342105,0.181818,0.268293,0.166667,0.066667,' bus '
0.326087,0.269231,0.458333,0.30131,0.230769,0.09434,0.248366,0.514286,0.166667,0.271429,0.231579,0.188249,0.264151,0.131579,0.090909,0.487805,0.666667,0.633333,' bus '
0.608696,0.730769,0.847222,0.406114,0.164835,0.132075,0.496732,0.257143,0.416667,0.628571,0.410526,0.411271,0.591195,0.105263,0.636364,0.365854,0.566667,0.7,' saab'
